City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Soyo,AO,76.69,moderate rain,-6.1349,12.3689,Hotel Maria Teres
491,Oranjestad,AW,81.91,overcast clouds,12.524,-70.027,Hotel California
497,Atakpamé,TG,82.27,clear sky,7.5333,1.1333,Roc Hotel
501,Maragogi,BR,80.19,clear sky,-9.0122,-35.2225,Pousada Mariluz
503,Hambantota,LK,75.11,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
514,Vanimo,PG,76.77,broken clouds,-2.6741,141.3028,CBC Guesthouse
519,Fomboni,KM,81.59,few clouds,-12.28,43.7425,Mohéli La Plage
525,Pimenta Bueno,BR,87.01,light rain,-11.6725,-61.1936,Cristalina palace hotel
527,Lubao,PH,80.67,broken clouds,14.9167,120.55,Hacienda de Gracia Resort
528,San Miguel de Tucumán,AR,89.6,clear sky,-26.8241,-65.2226,Suites San Luis
537,Noumea,NC,78.01,clear sky,-22.2763,166.4572,Hotel Gondwana
544,Dhule,IN,78.67,overcast clouds,20.9,74.7833,Plaza
585,San Juan de los Morros,VE,79.84,overcast clouds,9.9115,-67.3538,El Brasero
586,Pochutla,MX,86.83,scattered clouds,15.7432,-96.4661,Hotel El Patio
590,Santa Rosa,PH,80.58,few clouds,14.3122,121.1114,JARS RESORT
593,Jacareacanga,BR,75.9,light rain,-6.2222,-57.7528,Hotel São Cristovão
596,São Borja,BR,86.95,clear sky,-28.6606,-56.0044,Hotel Obino
601,Yeppoon,AU,76.78,light rain,-23.1333,150.7333,Blossom's on Seaspray
605,Houma,US,78.01,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
612,Paracuru,BR,81.1,scattered clouds,-3.41,-39.0306,Pousada Sol e Lua
615,Candolim,IN,80.6,broken clouds,15.5181,73.7626,bluesea Beach Resort
616,Luís Correia,BR,86.0,few clouds,-2.8792,-41.6669,Hotel Amaro
630,Ambon City,ID,77.23,overcast clouds,-3.6954,128.1814,Hotel Hero
642,Quelimane,MZ,80.55,light rain,-17.8786,36.8883,Mabassa
643,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Cape Garden
645,Cacoal,BR,85.46,overcast clouds,-11.4386,-61.4472,Cacoal Palace Hotel
657,Sinnamary,GF,78.39,overcast clouds,5.3833,-52.95,Hôtel du fleuve
660,Eyl,SO,75.78,clear sky,7.9803,49.8164,فندق ايل دابي
666,Mahibadhoo,MV,81.09,overcast clouds,3.7833,72.9667,Coral View Inn
670,Lampazos de Naranjo,MX,85.17,broken clouds,27.0167,-100.5167,Hotel Lampazos
683,Key West,US,84.2,clear sky,24.5557,-81.7826,Harborside Hotel & Marina
687,Salinópolis,BR,82.87,few clouds,-0.6136,-47.3561,Hotel Salinópolis
