City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Havre-St-Pierre,CA,50.2334,-63.5986,32.36,86,100,20.71,light snow
118,Shingū,JP,33.7333,135.9833,46.24,73,5,7.25,clear sky
119,Winneba,GH,5.3511,-0.6231,79.41,84,61,7.58,broken clouds
120,Atuona,PF,-9.8,-139.0333,77.77,80,25,18.01,light rain
121,Isangel,VU,-19.55,169.2667,77.11,88,20,0.0,few clouds
122,Kiruna,SE,67.8557,20.2251,5.92,85,100,10.36,light snow
123,Amazar,RU,53.858,120.875,-25.8,92,52,4.52,broken clouds
124,Hamilton,US,39.1834,-84.5333,46.31,67,0,11.5,clear sky
125,Norman Wells,CA,65.282,-126.8329,3.24,85,75,3.44,broken clouds
126,Bam,IR,29.106,58.357,48.38,37,0,0.13,clear sky
127,Rabat,MA,33.9911,-6.8401,71.67,71,64,13.8,broken clouds
128,George Town,MY,5.4112,100.3354,81.23,88,20,2.3,few clouds
129,Sabang,ID,5.8933,95.3214,79.09,86,100,25.37,light rain
130,Itarema,BR,-2.9248,-39.9167,81.97,68,8,15.26,clear sky
131,San Patricio,US,28.017,-97.5169,86.09,52,91,15.35,overcast clouds
132,Paliā Kalān,IN,28.45,80.5833,55.2,47,0,4.74,clear sky
133,Morondava,MG,-20.2833,44.2833,74.64,85,100,13.13,moderate rain
134,Rio Branco,BR,-9.9747,-67.81,90.21,62,40,4.61,scattered clouds
135,Balkhash,KZ,46.844,74.9804,9.82,79,85,3.47,overcast clouds
136,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,33,12.21,light rain
137,Ponta Delgada,PT,37.7333,-25.6667,61.52,72,40,28.77,light intensity shower rain
138,Scicli,IT,36.7902,14.7014,62.15,94,80,14.16,broken clouds
139,Torbay,CA,47.6666,-52.7314,40.57,92,100,29.93,overcast clouds
140,Abashiri,JP,44.0213,144.2697,33.94,68,76,19.8,broken clouds
141,Quatre Cocos,MU,-20.2078,57.7625,77.11,75,23,15.75,few clouds
142,Ponte de Sôr,PT,39.2496,-8.0101,60.98,95,41,11.25,scattered clouds
143,Dikson,RU,73.5069,80.5464,7.0,85,100,21.83,overcast clouds
144,Grindavik,IS,63.8424,-22.4338,23.47,68,20,13.8,few clouds
145,Luwuk,ID,-0.9516,122.7875,77.09,89,100,3.76,moderate rain
146,Carnarvon,AU,-24.8667,113.6333,70.25,83,0,14.27,clear sky
147,Ubari,LY,26.5921,12.7805,67.12,37,0,4.23,clear sky
148,Hermanus,ZA,-34.4187,19.2345,64.8,93,12,2.55,few clouds
149,Kaeo,NZ,-35.1,173.7833,67.32,90,100,10.94,overcast clouds
150,Rincon,US,32.296,-81.2354,57.9,50,75,9.22,broken clouds
151,Urucará,BR,-2.5364,-57.76,91.62,42,94,4.85,overcast clouds
152,Ilulissat,GL,69.2167,-51.1,21.22,63,75,14.97,light snow
153,Nelson Bay,AU,-32.7167,152.15,63.1,70,0,8.01,clear sky
154,Gualeguaychú,AR,-33.0094,-58.5172,88.07,17,0,4.72,clear sky
155,Aktau,KZ,43.65,51.2,36.18,61,76,15.05,broken clouds
156,Saint Paul Harbor,US,57.79,-152.4072,31.51,93,100,4.61,overcast clouds
157,Ancud,CL,-41.8697,-73.8203,60.71,70,89,9.55,overcast clouds
158,Skjervøy,NO,70.0311,20.9714,10.4,51,100,12.91,overcast clouds
159,Aklavik,CA,68.2191,-135.0107,-2.47,85,91,4.76,overcast clouds
160,Santa Maria,BR,-29.6842,-53.8069,85.1,19,0,7.58,clear sky
161,Waipawa,NZ,-41.4122,175.5153,65.12,70,73,3.96,broken clouds
162,Clyde River,CA,70.4692,-68.5914,0.18,92,100,2.13,overcast clouds
163,Kumluca,TR,36.3703,30.2869,61.02,82,100,2.13,light rain
164,Port Moresby,PG,-9.4431,147.1797,76.42,94,40,5.75,scattered clouds
