City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Mount Vernon,US,2022-12-13 01:44:49,40.9126,-73.8371,32.9,71,0,5.99
113,Mocuba,MZ,2022-12-13 01:49:14,-16.8392,36.9856,73.04,95,87,2.53
114,Kastamonu,TR,2022-12-13 01:49:14,41.5,33.6667,40.55,93,27,1.7
115,Joacaba,BR,2022-12-13 01:49:15,-27.1781,-51.5047,68.0,99,51,1.32
116,Wagar,SD,2022-12-13 01:49:15,16.1525,36.2032,71.35,71,0,9.1
117,Lake Charles,US,2022-12-13 01:46:45,30.2131,-93.2044,65.98,96,0,4.61
118,Mount Isa,AU,2022-12-13 01:49:16,-20.7333,139.5,94.77,13,1,11.5
119,Kyra,RU,2022-12-13 01:49:17,49.5776,111.9753,-12.46,72,13,7.85
120,Novaya Malykla,RU,2022-12-13 01:49:17,54.2,49.95,18.79,79,7,9.4
121,Alice Springs,AU,2022-12-13 01:49:18,-23.7,133.8833,81.95,16,67,11.5
122,Snasa,NO,2022-12-13 01:49:18,64.2457,12.3778,8.01,98,31,3.85
123,Yayva,RU,2022-12-13 01:49:19,59.3303,57.2641,21.18,96,100,5.77
124,Sitka,US,2022-12-13 01:49:20,57.0531,-135.33,39.09,87,100,5.75
125,Gushikawa,JP,2022-12-13 01:49:20,26.3544,127.8686,69.03,72,75,12.66
126,Barrow,US,2022-12-13 01:49:21,71.2906,-156.7887,17.62,73,100,18.41
127,Zilair,RU,2022-12-13 01:49:21,52.2332,57.4392,6.04,82,61,1.23
128,Safaga,EG,2022-12-13 01:49:22,26.7292,33.9365,71.6,36,0,5.64
129,Fillmore,US,2022-12-13 01:49:22,43.6666,-92.1002,35.02,86,100,11.5
130,Bambanglipuro,ID,2022-12-13 01:49:23,-7.95,110.2833,83.1,71,46,5.23
131,Pryozerne,UA,2022-12-13 01:49:23,45.2698,36.3303,48.87,92,100,3.65
132,Lebu,CL,2022-12-13 01:49:24,-37.6167,-73.65,57.88,82,0,18.75
133,San Patricio,US,2022-12-13 01:49:25,28.017,-97.5169,75.06,86,100,17.22
134,Palmer,US,2022-12-13 01:49:25,42.1584,-72.3287,26.51,72,0,14.97
135,Sergeyevka,KZ,2022-12-13 01:49:26,53.88,67.4158,13.08,87,100,8.48
136,Chuy,UY,2022-12-13 01:49:26,-33.6971,-53.4616,59.13,70,42,6.53
137,Padang,ID,2022-12-13 01:49:27,-0.9492,100.3543,78.85,89,100,1.83
138,Nome,US,2022-12-13 01:49:27,64.5011,-165.4064,12.27,92,40,0.0
139,La Ligua,CL,2022-12-13 01:49:28,-32.4524,-71.2311,62.46,66,0,1.45
140,Itanhem,BR,2022-12-13 01:49:28,-17.1664,-40.33,73.09,91,99,4.43
141,Burnie,AU,2022-12-13 01:49:29,-41.0667,145.9167,51.94,77,93,15.19
142,Kavieng,PG,2022-12-13 01:49:29,-2.5744,150.7967,84.38,70,100,7.23
143,Pizarro,CO,2022-12-13 01:50:30,4.9533,-77.366,75.9,88,100,4.12
144,Gamba,GA,2022-12-13 01:50:30,-2.65,10.0,75.16,90,100,3.67
145,Punta Arenas,CL,2022-12-13 01:50:31,-53.15,-70.9167,51.91,71,40,23.02
146,Torrevieja,ES,2022-12-13 01:50:32,37.9787,-0.6822,69.82,70,100,1.01
147,Sinnamary,GF,2022-12-13 01:50:32,5.3833,-52.95,76.68,89,100,8.84
148,Yatou,CN,2022-12-13 01:50:33,37.15,122.3833,38.03,43,0,17.16
149,Upernavik,GL,2022-12-13 01:50:33,72.7868,-56.1549,14.47,71,100,6.26
150,Hambantota,LK,2022-12-13 01:50:34,6.1241,81.1185,70.14,100,20,3.44
151,Belize,BZ,2022-12-13 01:50:34,17.25,-88.75,75.52,99,87,2.77
152,Arroyos Y Esteros,PY,2022-12-13 01:50:35,-25.0667,-57.1,80.35,92,22,2.44
153,Beringovskiy,RU,2022-12-13 01:50:35,63.05,179.3167,-7.76,94,32,5.5
154,Airai,TL,2022-12-13 01:50:36,-8.9266,125.4092,78.03,48,50,1.81
155,Sioux Lookout,CA,2022-12-13 01:50:37,50.1001,-91.917,23.07,93,100,8.05
156,Turukhansk,RU,2022-12-13 01:50:37,65.8167,87.9833,-23.66,98,99,2.89
157,Norman Wells,CA,2022-12-13 01:50:38,65.282,-126.8329,-0.36,65,75,9.22
158,Pacific Grove,US,2022-12-13 01:50:38,36.6177,-121.9166,51.48,79,40,14.0
159,Shchebetovka,UA,2022-12-13 01:50:39,44.9333,35.15,47.93,89,100,2.66
160,Garowe,SO,2022-12-13 01:50:39,8.4054,48.4845,64.27,87,0,8.95
161,Kununurra,AU,2022-12-13 01:50:40,-15.7667,128.7333,87.78,62,75,2.3
162,Vista Hermosa,MX,2022-12-13 01:50:41,19.5167,-99.2167,63.55,50,22,1.86
163,Tadine,NC,2022-12-13 01:50:41,-21.55,167.8833,80.58,61,3,11.34
164,Yumen,CN,2022-12-13 01:50:42,40.2833,97.2,13.26,52,14,9.75
165,Vardo,NO,2022-12-13 01:50:43,70.3705,31.1107,13.98,67,48,18.41
166,Lundazi,ZM,2022-12-13 01:50:43,-12.2929,33.1782,65.79,84,100,7.07
167,Ahipara,NZ,2022-12-13 01:50:44,-35.1667,173.1667,70.45,81,70,3.76
168,Camacha,PT,2022-12-13 01:50:44,33.0833,-16.3333,67.42,88,40,11.5
169,Sladkovo,RU,2022-12-13 01:50:45,55.5284,70.3385,8.08,96,100,5.84
170,Batagay-Alyta,RU,2022-12-13 01:50:45,67.8006,130.4114,-28.98,86,97,3.09
171,Guerrero Negro,MX,2022-12-13 01:50:46,27.9769,-114.0611,60.13,58,0,13.33
172,Isangel,VU,2022-12-13 01:50:46,-19.55,169.2667,82.2,63,1,11.95
173,Riberalta,BO,2022-12-13 01:50:47,-10.9833,-66.1,72.46,97,55,2.57
174,Nukus,UZ,2022-12-13 01:50:48,42.4531,59.6103,23.52,49,0,8.32
175,Loiza,PR,2022-12-13 01:50:48,18.4313,-65.8802,78.78,67,75,3.44
176,Severnoye,RU,2022-12-13 01:50:49,56.3491,78.3619,2.1,93,100,12.44
177,Mar Del Plata,AR,2022-12-13 01:50:49,-38.0023,-57.5575,58.87,75,0,3.0
178,Port Macquarie,AU,2022-12-13 01:50:50,-31.4333,152.9167,74.89,33,0,12.17
179,Huitan,GT,2022-12-13 01:50:50,15.1,-91.6167,50.9,93,53,1.5
180,Puerto Escondido,MX,2022-12-13 01:50:51,15.85,-97.0667,77.0,80,92,4.92
181,Atikokan,CA,2022-12-13 01:50:51,48.7555,-91.6216,27.39,90,100,8.55
182,Denpasar,ID,2022-12-13 01:45:56,-8.65,115.2167,91.06,66,20,5.75
183,Qandala,SO,2022-12-13 01:50:52,11.472,49.8728,73.96,58,4,8.1
184,San Martin,AR,2022-12-13 01:50:52,-33.081,-68.4681,79.34,19,0,10.36
185,Gat,IL,2022-12-13 01:51:53,31.61,34.7642,63.39,11,95,6.46
186,Georgetown,MY,2022-12-13 01:51:53,5.4112,100.3354,82.33,89,20,1.99
187,Guatire,VE,2022-12-13 01:51:54,10.4762,-66.5427,67.75,97,50,0.85
188,Alcantara,BR,2022-12-13 01:51:55,-2.4089,-44.4147,82.6,83,33,8.55
189,Bengkulu,ID,2022-12-13 01:51:55,-3.8004,102.2655,77.14,84,100,4.45
190,Zhangjiakou,CN,2022-12-13 01:51:56,40.81,114.8794,6.42,33,13,21.7
191,Olafsvik,IS,2022-12-13 01:51:56,64.8945,-23.7142,34.14,74,69,14.94
192,Butaritari,KI,2022-12-13 01:51:57,3.0707,172.7902,81.52,77,37,12.75
193,Antalaha,MG,2022-12-13 01:51:57,-14.9003,50.2788,72.25,91,12,6.31
194,Necochea,AR,2022-12-13 01:51:58,-38.5473,-58.7368,54.1,78,14,3.96
195,Poum,NC,2022-12-13 01:51:58,-20.2333,164.0167,81.0,65,2,3.71
196,Itarema,BR,2022-12-13 01:51:59,-2.9248,-39.9167,78.19,77,97,12.53
197,Cidreira,BR,2022-12-13 01:51:59,-30.1811,-50.2056,69.49,75,100,8.66
198,Eberndorf,AT,2022-12-13 01:52:00,46.5914,14.6436,19.96,76,40,1.21
199,Namibe,AO,2022-12-13 01:52:00,-15.1961,12.1522,68.31,70,19,6.62
200,Duzce,TR,2022-12-13 01:52:01,40.8389,31.1639,54.0,71,74,6.44
201,Torbay,CA,2022-12-13 01:52:02,47.6666,-52.7314,34.57,95,100,8.05
202,Urumqi,CN,2022-12-13 01:50:01,43.801,87.6005,-4.85,84,2,2.24
203,Bathsheba,BB,2022-12-13 01:52:03,13.2167,-59.5167,79.41,87,40,12.66
204,Komsomolskiy,UZ,2022-12-13 01:52:03,40.4272,71.7189,27.32,93,100,4.61
205,Vao,NC,2022-12-13 01:52:04,-22.6667,167.4833,75.85,68,19,9.84
206,Sibolga,ID,2022-12-13 01:52:04,1.7427,98.7792,76.48,90,91,2.95
207,Ormara,PK,2022-12-13 01:52:05,25.2088,64.6357,71.69,37,0,9.64
208,Atar,MR,2022-12-13 01:52:05,20.5169,-13.0499,75.33,15,0,7.2
209,Cabo San Lucas,MX,2022-12-13 01:51:31,22.8909,-109.9124,74.52,70,97,10.71
210,Pevek,RU,2022-12-13 01:52:06,69.7008,170.3133,-12.82,94,100,25.08
211,Talnakh,RU,2022-12-13 01:52:06,69.4865,88.3972,-12.8,99,100,7.94
212,Oum Hadjer,TD,2022-12-13 01:52:07,13.2954,19.6966,69.93,13,92,9.69
213,Villefranche-De-Rouergue,FR,2022-12-13 01:52:08,44.3333,2.0,45.37,98,100,6.26
214,Zhigansk,RU,2022-12-13 01:52:08,66.7697,123.3711,-27.38,96,100,12.53
215,Zyryanka,RU,2022-12-13 01:52:09,65.75,150.85,-38.04,99,100,7.27
216,Wanning,CN,2022-12-13 01:52:09,18.8003,110.3967,64.81,67,11,13.06
217,Bereda,ES,2022-12-13 01:52:10,43.2686,-7.5406,58.41,100,100,7.11
218,Oriximina,BR,2022-12-13 01:52:11,-1.7656,-55.8661,75.7,84,61,2.91
219,Touros,BR,2022-12-13 01:49:48,-5.1989,-35.4608,78.08,77,52,10.16
220,Jalna,IN,2022-12-13 01:52:11,19.8333,75.8833,69.08,83,18,6.15
221,Alofi,NU,2022-12-13 01:52:05,-19.0595,-169.9187,80.49,65,58,12.66
222,Mitzic,GA,2022-12-13 01:52:12,0.7821,11.549,67.55,98,99,2.59
223,Debica,PL,2022-12-13 01:52:13,50.0515,21.4114,31.95,95,100,14.12
224,Awjilah,LY,2022-12-13 01:52:13,29.1081,21.2869,64.89,38,100,7.2
225,Lyuban,BY,2022-12-13 01:52:14,52.7985,28.0048,26.91,92,100,11.03
226,Verkhnyaya Inta,RU,2022-12-13 01:52:14,65.9811,60.3094,-20.65,99,11,2.77
227,Kant,IN,2022-12-13 01:52:15,27.8,79.8,58.15,40,0,7.72
228,Farafenni,GM,2022-12-13 01:53:15,13.5667,-15.6,74.17,15,0,6.98
